x,y,angle,flow_rate,servo_angle,distance
4,1,41,5.53,70,2.23
6,1,42,5.53,70,2.19
7,1,42,5.53,70,2.18
8,1,43,5.53,70,2.16
24,1,51,4.46,49,1.89
25,1,52,4.46,48,1.87
26,1,52,4.46,48,1.86
27,1,53,4.46,47,1.84
28,1,53,4.46,47,1.83
29,1,54,4.46,47,1.81
30,1,55,4.46,46,1.8
31,1,55,4.46,46,1.78
32,1,56,4.46,46,1.77
33,1,57,4.46,45,1.75
34,1,57,4.46,45,1.74
35,1,58,4.46,44,1.73
36,1,59,4.46,44,1.72
37,1,60,4.46,44,1.7
38,1,60,4.46,43,1.69
39,1,61,4.46,43,1.68
40,1,62,4.46,43,1.67
41,1,63,4.46,42,1.65
42,1,63,4.46,42,1.64
43,1,64,4.46,42,1.63
44,1,65,4.46,42,1.62
45,1,66,4.46,41,1.61
46,1,67,4.46,41,1.6
47,1,67,4.46,41,1.59
48,1,68,4.46,41,1.58
49,1,69,4.46,40,1.57
50,1,70,4.46,40,1.57
51,1,71,4.46,40,1.56
52,1,72,4.46,40,1.55
53,1,73,4.46,40,1.54
54,1,73,4.46,40,1.54
55,1,74,4.46,39,1.53
56,1,75,4.46,39,1.52
57,1,76,4.46,39,1.52
58,1,77,4.46,39,1.51
59,1,78,4.46,39,1.51
60,1,79,4.46,39,1.5
61,1,80,4.46,39,1.5
62,1,81,4.46,38,1.49
63,1,82,4.46,38,1.49
64,1,83,4.46,38,1.49
65,1,84,4.46,38,1.48
66,1,85,4.46,38,1.48
67,1,86,4.46,38,1.48
68,1,87,4.46,38,1.48
69,1,88,4.46,38,1.48
70,1,89,4.46,38,1.48
71,1,90,4.46,38,1.48
72,1,90,4.46,38,1.48
73,1,91,4.46,38,1.48
74,1,92,4.46,38,1.48
75,1,93,4.46,38,1.48
76,1,94,4.46,38,1.48
77,1,95,4.46,38,1.48
78,1,96,4.46,38,1.49
79,1,97,4.46,38,1.49
80,1,98,4.46,38,1.49
81,1,99,4.46,39,1.5
82,1,100,4.46,39,1.5
83,1,101,4.46,39,1.51
84,1,102,4.46,39,1.51
85,1,103,4.46,39,1.52
86,1,104,4.46,39,1.52
87,1,105,4.46,39,1.53
88,1,106,4.46,40,1.54
89,1,106,4.46,40,1.54
90,1,107,4.46,40,1.55
91,1,108,4.46,40,1.56
92,1,109,4.46,40,1.57
93,1,110,4.46,40,1.57
94,1,111,4.46,41,1.58
95,1,112,4.46,41,1.59
96,1,112,4.46,41,1.6
97,1,113,4.46,41,1.61
98,1,114,4.46,42,1.62
99,1,115,4.46,42,1.63
100,1,116,4.46,42,1.64
101,1,116,4.46,42,1.65
102,1,117,4.46,43,1.67
103,1,118,4.46,43,1.68
104,1,119,4.46,43,1.69
105,1,119,4.46,44,1.7
106,1,120,4.46,44,1.72
107,1,121,4.46,44,1.73
108,1,122,4.46,45,1.74
109,1,122,4.46,45,1.75
110,1,123,4.46,46,1.77
111,1,124,4.46,46,1.78
113,1,125,4.46,47,1.81
114,1,126,4.46,47,1.83
115,1,126,4.46,47,1.84
116,1,127,4.46,48,1.86
117,1,127,4.46,48,1.87
118,1,128,4.46,49,1.89
134,1,136,5.53,70,2.16
135,1,137,5.53,70,2.18
136,1,137,5.53,70,2.19
137,1,138,5.53,70,2.21
138,1,138,5.53,70,2.23
3,2,40,5.53,70,2.23
4,2,40,5.53,70,2.22
5,2,41,5.53,70,2.2
6,2,41,5.53,70,2.18
7,2,42,5.53,70,2.16
23,2,50,4.46,48,1.88
24,2,50,4.46,48,1.87
25,2,51,4.46,48,1.85
26,2,52,4.46,47,1.84
27,2,52,4.46,47,1.82
28,2,53,4.46,47,1.81
29,2,54,4.46,46,1.79
30,2,54,4.46,46,1.78
31,2,55,4.46,45,1.76
32,2,56,4.46,45,1.75
33,2,56,4.46,44,1.73
34,2,57,4.46,44,1.72
35,2,58,4.46,44,1.71
36,2,58,4.46,43,1.69
37,2,59,4.46,43,1.68
38,2,60,4.46,43,1.67
39,2,61,4.46,43,1.66
40,2,61,4.46,42,1.64
41,2,62,4.46,42,1.63
42,2,63,4.46,42,1.62
43,2,64,4.46,41,1.61
44,2,65,4.46,41,1.6
45,2,65,4.46,41,1.59
46,2,66,4.46,41,1.58
47,2,67,4.46,40,1.57
48,2,68,4.46,40,1.56
49,2,69,4.46,40,1.55
50,2,70,4.46,40,1.54
51,2,70,4.46,39,1.53
52,2,71,4.46,39,1.53
53,2,72,4.46,39,1.52
54,2,73,4.46,39,1.51
55,2,74,4.46,39,1.5
56,2,75,4.46,39,1.5
57,2,76,4.46,38,1.49
58,2,77,4.46,38,1.49
59,2,78,4.46,38,1.48
60,2,79,4.46,38,1.48
61,2,80,4.46,38,1.47
62,2,81,4.46,38,1.47
63,2,82,4.46,37,1.46
64,2,83,4.46,37,1.46
65,2,84,4.46,37,1.46
66,2,85,4.46,37,1.46
67,2,86,4.46,37,1.45
68,2,87,4.46,37,1.45
69,2,88,4.46,37,1.45
70,2,89,4.46,37,1.45
71,2,90,4.46,37,1.45
72,2,90,4.46,37,1.45
73,2,91,4.46,37,1.45
74,2,92,4.46,37,1.45
75,2,93,4.46,37,1.45
76,2,94,4.46,37,1.46
77,2,95,4.46,37,1.46
78,2,96,4.46,37,1.46
79,2,97,4.46,37,1.46
80,2,98,4.46,38,1.47
81,2,99,4.46,38,1.47
82,2,100,4.46,38,1.48
83,2,101,4.46,38,1.48
84,2,102,4.46,38,1.49
85,2,103,4.46,38,1.49
86,2,104,4.46,39,1.5
87,2,105,4.46,39,1.5
88,2,106,4.46,39,1.51
89,2,107,4.46,39,1.52
90,2,108,4.46,39,1.53
91,2,109,4.46,39,1.53
92,2,109,4.46,40,1.54
93,2,110,4.46,40,1.55
94,2,111,4.46,40,1.56
95,2,112,4.46,40,1.57
96,2,113,4.46,41,1.58
97,2,114,4.46,41,1.59
98,2,114,4.46,41,1.6
99,2,115,4.46,41,1.61
100,2,116,4.46,42,1.62
101,2,117,4.46,42,1.63
102,2,118,4.46,42,1.64
103,2,118,4.46,43,1.66
104,2,119,4.46,43,1.67
105,2,120,4.46,43,1.68
106,2,121,4.46,43,1.69
107,2,121,4.46,44,1.71
108,2,122,4.46,44,1.72
109,2,123,4.46,44,1.73
110,2,123,4.46,45,1.75
111,2,124,4.46,45,1.76
112,2,125,4.46,46,1.78
113,2,125,4.46,46,1.79
114,2,126,4.46,47,1.81
115,2,127,4.46,47,1.82
116,2,127,4.46,47,1.84
117,2,128,4.46,48,1.85
118,2,129,4.46,48,1.87
119,2,129,4.46,48,1.88
135,2,137,5.53,70,2.16
136,2,138,5.53,70,2.18
137,2,138,5.53,70,2.2
138,2,139,5.53,70,2.22
139,2,139,5.53,70,2.23
2,3,39,5.53,70,2.24
